10 30
0.000000000000000e+00 -3.061616997868383e-16 0.000000000000000e+00
3.122449042958197e-04 1.742833606131530e-01 0.000000000000000e+00
1.225395005251202e-03 3.485645864216538e-01 0.000000000000000e+00
2.742480120242935e-03 5.228415926675833e-01 0.000000000000000e+00
4.868458417630440e-03 6.971122406344060e-01 0.000000000000000e+00
7.615373232594942e-03 8.713742209666170e-01 0.000000000000000e+00
1.101250024902175e-02 1.045624731436758e+00 0.000000000000000e+00
1.504824909771673e-02 1.219861596110794e+00 0.000000000000000e+00
1.973668981648865e-02 1.394082117981005e+00 0.000000000000000e+00
2.510860668035805e-02 1.568282907297309e+00 0.000000000000000e+00
3.119859756367171e-02 1.742460057897146e+00 0.000000000000000e+00
3.800489692543055e-02 1.916610670660892e+00 0.000000000000000e+00
4.558011171624773e-02 2.090729516938333e+00 0.000000000000000e+00
5.396394790412389e-02 2.264811287428547e+00 0.000000000000000e+00
6.318064718081659e-02 2.438850923098784e+00 0.000000000000000e+00
7.331750740727029e-02 2.612839375633898e+00 0.000000000000000e+00
8.440957343615620e-02 2.786769472424834e+00 0.000000000000000e+00
9.653825932450190e-02 2.960630366676233e+00 0.000000000000000e+00
1.098292817470972e-01 3.134406196075687e+00 0.000000000000000e+00
1.243701177943883e-01 3.308081762985221e+00 0.000000000000000e+00
1.403155441829786e-01 3.481633866614910e+00 0.000000000000000e+00
1.578573070037274e-01 3.655031716475517e+00 0.000000000000000e+00
1.772358072797360e-01 3.828233728504735e+00 0.000000000000000e+00
1.988499484802555e-01 4.001170483853983e+00 0.000000000000000e+00
2.231294664879296e-01 4.173752243013721e+00 0.000000000000000e+00
2.508639452956227e-01 4.345810854053877e+00 0.000000000000000e+00
2.832543725849965e-01 4.517050194034192e+00 0.000000000000000e+00
3.227312411465970e-01 4.686782972090843e+00 0.000000000000000e+00
3.748973728247391e-01 4.852982552420382e+00 0.000000000000000e+00
4.646446609406726e-01 5.000000000000000e+00 0.000000000000000e+00
1.111111111111111e-01 -3.061616997868383e-16 0.000000000000000e+00
1.113539682588967e-01 1.742833606131530e-01 0.000000000000000e+00
1.120641961151954e-01 3.485645864216539e-01 0.000000000000000e+00
1.132441512046334e-01 5.228415926675838e-01 0.000000000000000e+00
1.148976898803793e-01 6.971122406344058e-01 0.000000000000000e+00
1.170341791809073e-01 8.713742209666172e-01 0.000000000000000e+00
1.196763890825727e-01 1.045624731436758e+00 0.000000000000000e+00
1.228153048537799e-01 1.219861596110794e+00 0.000000000000000e+00
1.264618698572692e-01 1.394082117981005e+00 0.000000000000000e+00
